图片名称: 003458, 时间戳: 2025-12-18 17:45:59, 缺陷类别: 划痕(scratches), 推理用时: 0.5693 秒, 背景占比: 97.71%, 缺陷占比: 2.29%
图片名称: 003488, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 87.79%, 缺陷占比: 12.21%
图片名称: 004256, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0042 秒, 背景占比: 89.13%, 缺陷占比: 10.87%
图片名称: 001927, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0041 秒, 背景占比: 91.59%, 缺陷占比: 8.40%
图片名称: 001730, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 88.45%, 缺陷占比: 11.55%
图片名称: 001488, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 96.51%, 缺陷占比: 3.49%
图片名称: 002691, 时间戳: 2025-12-18 17:46:01, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 92.70%, 缺陷占比: 7.30%
图片名称: 002591, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0038 秒, 背景占比: 94.11%, 缺陷占比: 5.90%
图片名称: 003009, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0043 秒, 背景占比: 76.03%, 缺陷占比: 23.97%
图片名称: 001801, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 89.29%, 缺陷占比: 10.71%
图片名称: 003715, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0038 秒, 背景占比: 82.08%, 缺陷占比: 17.93%
图片名称: 000292_test, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0038 秒, 背景占比: 70.86%, 缺陷占比: 29.14%
图片名称: 000096, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0051 秒, 背景占比: 96.41%, 缺陷占比: 3.59%
图片名称: 004332, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 79.14%, 缺陷占比: 20.86%
图片名称: 001608, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 96.97%, 缺陷占比: 3.03%
图片名称: 000419, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0044 秒, 背景占比: 88.78%, 缺陷占比: 11.22%
图片名称: 000746, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 87.10%, 缺陷占比: 12.90%
图片名称: 003093, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 90.47%, 缺陷占比: 9.53%
图片名称: 001528, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 92.02%, 缺陷占比: 7.98%
图片名称: 000305, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0038 秒, 背景占比: 77.19%, 缺陷占比: 22.81%
图片名称: 004121, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0042 秒, 背景占比: 93.34%, 缺陷占比: 6.66%
图片名称: 003611, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0042 秒, 背景占比: 90.11%, 缺陷占比: 9.89%
图片名称: 000246, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 93.03%, 缺陷占比: 6.97%
图片名称: 001374, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 69.47%, 缺陷占比: 30.53%
图片名称: 001921, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0038 秒, 背景占比: 85.34%, 缺陷占比: 14.66%
图片名称: 000082, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 97.42%, 缺陷占比: 2.58%
图片名称: 001933, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0038 秒, 背景占比: 97.61%, 缺陷占比: 2.39%
图片名称: 000093, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0040 秒, 背景占比: 97.47%, 缺陷占比: 2.53%
图片名称: 000936, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 91.65%, 缺陷占比: 8.35%
图片名称: 002211, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 88.67%, 缺陷占比: 11.33%
图片名称: 001043, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 81.96%, 缺陷占比: 18.04%
图片名称: 001472, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 85.54%, 缺陷占比: 14.46%
图片名称: 002892, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0039 秒, 背景占比: 89.46%, 缺陷占比: 10.54%
图片名称: 001752, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 95.64%, 缺陷占比: 4.36%
图片名称: 000298_test, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 71.96%, 缺陷占比: 28.04%
图片名称: 003033, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0048 秒, 背景占比: 85.89%, 缺陷占比: 14.11%
图片名称: 000552, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0059 秒, 背景占比: 95.39%, 缺陷占比: 4.61%
图片名称: 003323, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 96.56%, 缺陷占比: 3.44%
图片名称: 001240, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0043 秒, 背景占比: 84.35%, 缺陷占比: 15.65%
图片名称: 001992, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0042 秒, 背景占比: 99.55%, 缺陷占比: 0.45%
图片名称: 000663_test, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0037 秒, 背景占比: 95.15%, 缺陷占比: 4.85%
图片名称: 003996, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0049 秒, 背景占比: 91.82%, 缺陷占比: 8.18%
图片名称: 002939, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0038 秒, 背景占比: 62.37%, 缺陷占比: 37.63%
图片名称: 003357, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 86.53%, 缺陷占比: 13.47%
图片名称: 002804, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0042 秒, 背景占比: 98.94%, 缺陷占比: 1.06%
图片名称: 004218, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 85.50%, 缺陷占比: 14.50%
图片名称: 001955, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 97.99%, 缺陷占比: 2.01%
图片名称: 002457, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0044 秒, 背景占比: 91.38%, 缺陷占比: 8.62%
图片名称: 002268, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 57.40%, 缺陷占比: 42.60%
图片名称: 001761, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 93.14%, 缺陷占比: 6.86%
图片名称: 002263, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0043 秒, 背景占比: 84.00%, 缺陷占比: 16.00%
图片名称: 001392, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0043 秒, 背景占比: 54.85%, 缺陷占比: 45.15%
图片名称: 000432, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0038 秒, 背景占比: 94.49%, 缺陷占比: 5.51%
图片名称: 004157, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0038 秒, 背景占比: 83.95%, 缺陷占比: 16.05%
图片名称: 000596_test, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 91.37%, 缺陷占比: 8.63%
图片名称: 000030, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0039 秒, 背景占比: 85.17%, 缺陷占比: 14.84%
图片名称: 000073, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 95.62%, 缺陷占比: 4.38%
图片名称: 003408, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0039 秒, 背景占比: 95.06%, 缺陷占比: 4.95%
图片名称: 003074, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 90.77%, 缺陷占比: 9.23%
图片名称: 000919, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 93.74%, 缺陷占比: 6.26%
图片名称: 003733, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0044 秒, 背景占比: 95.36%, 缺陷占比: 4.64%
图片名称: 000051, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0040 秒, 背景占比: 94.79%, 缺陷占比: 5.21%
图片名称: 003994, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0038 秒, 背景占比: 96.78%, 缺陷占比: 3.23%
图片名称: 002192, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 55.52%, 缺陷占比: 44.48%
图片名称: 000697_test, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0039 秒, 背景占比: 95.81%, 缺陷占比: 4.19%
图片名称: 003280, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 89.39%, 缺陷占比: 10.61%
图片名称: 000092, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 97.40%, 缺陷占比: 2.60%
图片名称: 004113, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 94.01%, 缺陷占比: 5.99%
图片名称: 001755, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0038 秒, 背景占比: 96.34%, 缺陷占比: 3.67%
图片名称: 004144, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 92.38%, 缺陷占比: 7.62%
图片名称: 000268, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0038 秒, 背景占比: 91.49%, 缺陷占比: 8.51%
图片名称: 004115, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 87.47%, 缺陷占比: 12.53%
图片名称: 000920, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0040 秒, 背景占比: 88.51%, 缺陷占比: 11.49%
图片名称: 000009, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 98.99%, 缺陷占比: 1.01%
图片名称: 002978, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0039 秒, 背景占比: 88.19%, 缺陷占比: 11.81%
图片名称: 000151, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0038 秒, 背景占比: 88.32%, 缺陷占比: 11.68%
图片名称: 003302, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 97.41%, 缺陷占比: 2.59%
图片名称: 000553_test, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 95.50%, 缺陷占比: 4.50%
图片名称: 004176, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 88.02%, 缺陷占比: 11.98%
图片名称: 002870, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 无缺陷, 推理用时: 0.0040 秒, 背景占比: 100.00%, 缺陷占比: 0.00%
图片名称: 002267, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0042 秒, 背景占比: 55.82%, 缺陷占比: 44.18%
图片名称: 000138, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0038 秒, 背景占比: 99.83%, 缺陷占比: 0.18%
图片名称: 002297, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 70.64%, 缺陷占比: 29.36%
图片名称: 003304, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0041 秒, 背景占比: 98.57%, 缺陷占比: 1.43%
图片名称: 001393, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0045 秒, 背景占比: 82.83%, 缺陷占比: 17.17%
图片名称: 001883, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0041 秒, 背景占比: 96.86%, 缺陷占比: 3.14%
图片名称: 003837, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 96.07%, 缺陷占比: 3.93%
图片名称: 002993, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 95.51%, 缺陷占比: 4.49%
图片名称: 000637, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 92.45%, 缺陷占比: 7.55%
图片名称: 002626, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 96.82%, 缺陷占比: 3.18%
图片名称: 000245, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0039 秒, 背景占比: 99.08%, 缺陷占比: 0.92%
图片名称: 003064, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0038 秒, 背景占比: 78.35%, 缺陷占比: 21.65%
图片名称: 003861, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 82.75%, 缺陷占比: 17.24%
图片名称: 000923, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 94.38%, 缺陷占比: 5.62%
图片名称: 001865, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 89.67%, 缺陷占比: 10.33%
图片名称: 003412, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 97.52%, 缺陷占比: 2.48%
图片名称: 000356, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0040 秒, 背景占比: 94.82%, 缺陷占比: 5.18%
图片名称: 002657, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 97.62%, 缺陷占比: 2.38%
图片名称: 000533, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 80.70%, 缺陷占比: 19.30%
图片名称: 003121, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 64.70%, 缺陷占比: 35.30%
图片名称: 000933, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 96.58%, 缺陷占比: 3.42%
图片名称: 000516_test, 时间戳: 2025-12-18 17:46:02, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 92.64%, 缺陷占比: 7.36%
图片名称: 004059, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0042 秒, 背景占比: 94.03%, 缺陷占比: 5.97%
图片名称: 000363, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0040 秒, 背景占比: 95.97%, 缺陷占比: 4.03%
图片名称: 000514, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 92.59%, 缺陷占比: 7.41%
图片名称: 003007, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 78.39%, 缺陷占比: 21.61%
图片名称: 002730, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 91.84%, 缺陷占比: 8.15%
图片名称: 001166, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 90.22%, 缺陷占比: 9.78%
图片名称: 003036, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0036 秒, 背景占比: 62.54%, 缺陷占比: 37.46%
图片名称: 000269_test, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 92.80%, 缺陷占比: 7.21%
图片名称: 002448, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 97.32%, 缺陷占比: 2.68%
图片名称: 002361, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0038 秒, 背景占比: 96.04%, 缺陷占比: 3.96%
图片名称: 003455, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 97.85%, 缺陷占比: 2.15%
图片名称: 002874, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0039 秒, 背景占比: 98.95%, 缺陷占比: 1.05%
图片名称: 004299, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、斑块(patches)、划痕(scratches), 推理用时: 0.0041 秒, 背景占比: 93.27%, 缺陷占比: 6.73%
图片名称: 002466, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 87.23%, 缺陷占比: 12.77%
图片名称: 002179, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 96.50%, 缺陷占比: 3.50%
图片名称: 003483, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0039 秒, 背景占比: 86.17%, 缺陷占比: 13.83%
图片名称: 001412, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0036 秒, 背景占比: 94.65%, 缺陷占比: 5.35%
图片名称: 004085, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 90.56%, 缺陷占比: 9.44%
图片名称: 000545, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0036 秒, 背景占比: 83.27%, 缺陷占比: 16.73%
图片名称: 000205, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 90.69%, 缺陷占比: 9.31%
图片名称: 002062, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 84.30%, 缺陷占比: 15.70%
图片名称: 000665_test, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0036 秒, 背景占比: 82.52%, 缺陷占比: 17.48%
图片名称: 003845, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0042 秒, 背景占比: 87.72%, 缺陷占比: 12.28%
图片名称: 002781, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0040 秒, 背景占比: 88.11%, 缺陷占比: 11.89%
图片名称: 001046, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0037 秒, 背景占比: 89.43%, 缺陷占比: 10.57%
图片名称: 002954, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 95.56%, 缺陷占比: 4.44%
图片名称: 001808, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 94.00%, 缺陷占比: 6.00%
图片名称: 004207, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 77.70%, 缺陷占比: 22.30%
图片名称: 000518_test, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 97.08%, 缺陷占比: 2.92%
图片名称: 002395, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 91.70%, 缺陷占比: 8.30%
图片名称: 002238, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0036 秒, 背景占比: 59.50%, 缺陷占比: 40.49%
图片名称: 002989, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0050 秒, 背景占比: 92.40%, 缺陷占比: 7.60%
图片名称: 000260_test, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0042 秒, 背景占比: 83.60%, 缺陷占比: 16.40%
图片名称: 003062, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 56.07%, 缺陷占比: 43.93%
图片名称: 003115, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0040 秒, 背景占比: 62.06%, 缺陷占比: 37.94%
图片名称: 002672, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 99.78%, 缺陷占比: 0.21%
图片名称: 002441, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 93.84%, 缺陷占比: 6.16%
图片名称: 000394, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0036 秒, 背景占比: 68.73%, 缺陷占比: 31.27%
图片名称: 000667_test, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0036 秒, 背景占比: 83.44%, 缺陷占比: 16.56%
图片名称: 000223, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 99.29%, 缺陷占比: 0.71%
图片名称: 003129, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0044 秒, 背景占比: 38.96%, 缺陷占比: 61.04%
图片名称: 003510, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 95.69%, 缺陷占比: 4.31%
图片名称: 003862, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、划痕(scratches), 推理用时: 0.0039 秒, 背景占比: 94.24%, 缺陷占比: 5.76%
图片名称: 000575_test, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 划痕(scratches), 推理用时: 0.0037 秒, 背景占比: 87.60%, 缺陷占比: 12.40%
图片名称: 000814, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0036 秒, 背景占比: 78.95%, 缺陷占比: 21.04%
图片名称: 002796, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0041 秒, 背景占比: 92.92%, 缺陷占比: 7.07%
图片名称: 000299_test, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0036 秒, 背景占比: 71.11%, 缺陷占比: 28.89%
图片名称: 002965, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0038 秒, 背景占比: 86.77%, 缺陷占比: 13.23%
图片名称: 004338, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches)、划痕(scratches), 推理用时: 0.0040 秒, 背景占比: 74.02%, 缺陷占比: 25.98%
图片名称: 002846, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 84.67%, 缺陷占比: 15.33%
图片名称: 000971, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion), 推理用时: 0.0036 秒, 背景占比: 89.29%, 缺陷占比: 10.71%
图片名称: 001323, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 斑块(patches), 推理用时: 0.0037 秒, 背景占比: 76.77%, 缺陷占比: 23.23%
图片名称: 003791, 时间戳: 2025-12-18 17:46:03, 缺陷类别: 夹渣(inclusion)、斑块(patches), 推理用时: 0.0036 秒, 背景占比: 85.99%, 缺陷占比: 14.01%
